title,artist,year,duration,genre,group
don't stop (wiggle wiggle),the outhere brothers,1995,185,eurodance,electronic
stay (i missed you),lisa loeb & nine stories,1994,185,rock,band
rhythm is a dancer,snap,1992,185,dance,electronic
break your heart,taio cruz,2010,186,pop,pop
pictures of you,the last goodnight,2008,186,pop,pop
opinions won't keep you warm at night,kisschasy,2007,186,rock,band
so good,bratz rock angelz,2005,186,teen pop,pop
numb,linkin park,2003,186,rock,band
whole again,atomic kitten,2001,186,pop,pop
i'll be there for you,the rembrandts,1996,186,rock,band
easy,faith no more,1993,186,rock,band
circus,britney spears,2009,187,pop,pop
circus,britney spears,2008,187,pop,pop
grace kelly,mika,2007,187,pop,pop
all you wanted,michelle branch,2002,187,pop,pop
uptown girl,westlife,2001,187,pop,pop
total eclipse of the heart,nicki french,1995,187,dance,electronic
the sign,ace of base,1994,187,pop,pop
hey hey hey,laurent wery feat. swiftkid,2012,188,rap,urban
price tag,jessie j feat. b.o.b,2011,188,pop,pop
accidentally in love,counting crows,2004,188,rock,band
don't know why,norah jones,2003,188,jazz,band
lifestyles of the rich & famous,good charlotte,2002,188,rock,band
can we fix it?,bob the builder,2001,188,children music,other
pretty fly (for a white guy),the offspring,1999,188,punk,band
pretty fly (for a white guy),the offspring,1998,188,punk,band
all about that bass,meghan trainor,2014,189,doo-wop,band
live louder,nathaniel,2014,189,pop,pop
turn me on,kevin lyttle,2004,189,reggae,band
strong enough,sheryl crow,1995,189,pop,pop
if i ever fall in love,shai,1993,189,r&b,urban
nobody to love,sigma,2014,190,drum and bass,electronic
on top of the world,imagine dragons,2013,190,rock,band
call me maybe,carly rae jepsen,2012,190,pop,pop
"young, wild & free",snoop dogg & wiz khalifa feat. bruno mars,2012,190,hip hop,urban
the lazy song,bruno mars,2011,190,pop,pop
"young, wild & free",snoop dogg & wiz khalifa feat. bruno mars,2011,190,hip hop,urban
last night,ian carey feat. snoop dogg & bobby anthony,2011,190,rap,urban
from the music,the potbelleez,2011,190,dance,electronic
see you again,miley cyrus,2008,190,pop,pop
window shopper,50 cent,2006,190,hip hop,urban
beat of my heart,hilary duff,2006,190,pop,pop
popcorn,crazy frog,2005,190,pop,pop
rapture,iio,2002,190,dance,electronic
crying at the discoteque,alcazar,2002,190,pop,pop
we will rock you,five & queen,2000,190,classic rock,band
this kiss,faith hill,1999,190,country,band
shot me down,david guetta feat. skylar grey,2014,191,house,electronic
it girl,jason derulo,2011,191,pop,pop
friday to sunday,justice crew,2011,191,dance,electronic
opposite of adults,chiddy bang,2010,191,hip hop,urban
party people,nelly feat. fergie,2008,191,rap,urban
loud,shannon noll,2007,191,rock,band
i'm your funny bear,gummibear,2007,191,dance,electronic
with you,jessica simpson,2004,191,pop,pop
who let the dogs out,baha men,2000,191,pop,pop
he don't love you,human nature,2000,191,pop,pop
it's gonna be me,*nsync,2000,191,pop,pop
live without it,killing heidi,2000,191,rock,band
cotton eye joe,rednex,1995,191,pop,pop
don't go now,ratcat,1991,191,indie rock,band
wiggle,jason derulo feat. snoop dogg,2014,192,pop,pop
stand by you,marlisa,2014,192,pop,pop
we are never ever getting back together,taylor swift,2012,192,country,band
my first kiss,3oh!3 feat. ke$ha,2010,192,electronic,electronic
don't trust me,3oh!3,2009,192,electronic,electronic
i don't do surprises,axle whitehead,2008,192,pop,pop
candyman,christina aguilera,2007,192,pop,pop
me & u,cassie,2006,192,r&b,urban
listen to your heart,dht,2006,192,dance,electronic
since you've been gone,kelly clarkson,2005,192,pop,pop
rumours,lindsay lohan,2005,192,pop,pop
hell no!,ricki-lee,2005,192,pop,pop
thank you,jamelia,2004,192,pop,pop
get the party started,pink,2002,192,pop,pop
cherry lips (go baby go!),garbage,2002,192,rock,band
feel it,the tamperer featuring maya,1998,192,dance,electronic
right back where we started from,sinitta,1989,192,pop,pop
right back where we started from,sinitta,1988,192,pop,pop
lonely boy,the black keys,2012,193,blues,band
changed the way you kiss me,example,2011,193,dance,electronic
little bad girl,david guetta feat. taio cruz & ludacris,2011,193,house,electronic
freefallin',zoe badwi,2010,193,dance,electronic
single ladies (put a ring on it),beyonce,2009,193,r&b,urban
kiss me thru the phone,soulja boy feat. sammie,2009,193,hip hop,urban
feels like woah,wes carr,2009,193,rock,band
single ladies (put a ring on it),beyonce,2008,193,r&b,urban
if you don't mean it,dean geyer,2007,193,pop,pop
stupid girls,p!nk,2006,193,pop,pop
when it all falls apart,the veronicas,2006,193,pop,pop
shut up,simple plan,2005,193,rock,band
take my breath away,jessica simpson,2004,193,pop,pop
slow,kylie minogue,2003,193,pop,pop
trouble,pink,2003,193,pop,pop
b-boys & fly girls,bomfunk mc's,2000,193,breakbeat,electronic
the impression that i get,the mighty mighty bosstones,1998,193,ska,band
thinking of you,hanson,1998,193,pop,pop
blood on the dancefloor,michael jackson,1997,193,pop,pop
right type of mood,herbie,1995,193,jazz,band
how do you do,roxette,1992,193,pop,pop
chain reaction,john farnham,1990,193,pop,pop
problem,ariana grande feat. iggy azalea,2014,194,pop,pop
best day of my life,american authors,2014,194,indie rock,band
harlem shake,baauer,2013,194,dance,electronic
levels,avicii,2012,194,house,electronic
sexy bitch,david guetta feat. akon,2010,194,house,electronic
sexy bitch,david guetta feat. akon,2009,194,house,electronic
hit me up,gia farrell,2007,194,pop,pop
gasolina,daddy yankee,2006,194,latin,pop
we think it's love,leah haywood,2000,194,pop,pop
break my stride,unique ii,1997,194,eurodance,electronic
lovefool,the cardigans,1997,194,rock,band
another man,itch,2014,195,rock,band
god only knows,mkto,2014,195,pop,pop
one thing,one direction,2012,195,pop,pop
where them girls at,david guetta feat. nicki minaj & flo rida,2011,195,house,electronic
switch,will smith,2005,195,hip hop,urban
get over you,sophie ellis bextor,2002,195,pop,pop
last kiss,pearl jam,1999,195,grunge,band
barbie girl,aqua,1997,195,pop,pop
streets of philadelphia,bruce springsteen,1994,195,rock,band
jump,kris kross,1992,195,rap,urban
dangerous,roxette,1990,195,pop,pop
drive by,train,2012,196,rock,band
turn up the love,far east movement feat. cover drive,2012,196,pop,pop
mind your manners,chiddy bang feat. icona pop,2012,196,hip hop,urban
dirty talk,wynter gordon,2011,196,dance,electronic
magic,b.o.b feat. rivers cuomo,2010,196,rap,urban
walking on a dream,empire of the sun,2009,196,dance,electronic
walking on a dream,empire of the sun,2008,196,dance,electronic
way to go!,rogue traders,2005,196,pop,pop
"whenever, wherever",shakira,2002,196,pop,pop
day & night,billie piper,2000,196,pop,pop
better off alone,alice deejay,2000,196,eurodance,electronic
hard to say i'm sorry,az yet,1997,196,r&b,urban
no limit,2 unlimited,1993,196,eurodance,electronic
dizzy,vic reeves & the wonderstuff,1992,196,british pop,band
next to me,emeli sande,2013,197,soul,urban
count on me,bruno mars,2012,197,pop,pop
sweat (david guetta remix),snoop dogg vs. david guetta,2011,197,hip hop,urban
in my head,jason derulo,2010,197,pop,pop
saturday night,jessica mauboy feat. ludacris,2010,197,pop,pop
good girls go bad,cobra starship feat. leighton meester,2009,197,pop punk,band
bubbly,colbie caillat,2008,197,pop,pop
don't you wanna feel,rogue traders,2007,197,pop,pop
f.u. right back,frankee,2004,197,r&b,urban
shackles (praise you),mary,2000,197,rock,band
keep on movin',five,1999,197,pop,pop
redundant / time of your life,green day,1998,197,punk,band
this is how we party,s.o.a.p.,1998,197,pop,pop
handle with care,the traveling wilburys,1989,197,rock,band
handle with care,the traveling wilburys,1988,197,rock,band
acapella,karmin,2013,198,pop,pop
what makes you beautiful,one direction,2012,198,pop,pop
set it off,timomatic,2012,198,r&b,urban
what makes you beautiful,one direction,2011,198,pop,pop
don't hold your breath,nicole scherzinger,2011,198,pop,pop
bulletproof,la roux,2009,198,pop,pop
you,wes carr,2008,198,rock,band
violet hill,coldplay,2008,198,rock,band
if i never see your face again,maroon 5 feat. rihanna,2008,198,pop,pop
toxic,britney spears,2004,198,pop,pop
not pretty enough,kasey chambers,2002,198,country,band
in your eyes,kylie minogue,2002,198,pop,pop
hero,chad kroeger,2002,198,rock,band
overprotected,britney spears,2002,198,pop,pop
i think i'm in love with you,jessica simpson,2000,198,pop,pop
(you drive me) crazy,britney spears,1999,198,pop,pop
pump it (nice an' hard),icy blu,1991,198,rap,urban
bang bang,jessie j feat. nicki minaj & ariana grande,2014,199,pop,pop
tennis court,lorde,2013,199,pop,pop
skinny love,birdy,2012,199,singer-songwriter,band
sexy and i know it,lmfao,2012,199,dance,electronic
sexy and i know it,lmfao,2011,199,dance,electronic
tik tok,ke$ha,2010,199,pop,pop
cooler than me,mike posner,2010,199,pop,pop
tik tok,ke$ha,2009,199,pop,pop
waking up in vegas,katy perry,2009,199,pop,pop
according to you,orianthi,2009,199,rock,band
suddenly i see,kt tunstall,2007,199,pop,pop
bye bye bye,*nsync,2000,199,pop,pop
kiss me,sixpence none the richer,1999,199,pop,pop
crush,jennifer paige,1998,199,pop,pop
fancy,iggy azalea feat. charli xcx,2014,200,hip hop,urban
best song ever,one direction,2013,200,pop,pop
turn me on,david guetta feat. nicki minaj,2012,200,house,electronic
tonight tonight,hot chelle rae,2011,200,pop,pop
"turn around (5,4,3,2,1)",flo rida,2011,200,rap,urban
who dat girl,flo rida feat. akon,2011,200,rap,urban
smile,uncle kracker,2010,200,rock,band
leave me alone (i'm lonely),p!nk,2007,200,pop,pop
don't miss you,amy pearson,2007,200,pop,pop
mistake,stephanie mcintosh,2006,200,pop,pop
hollaback girl,gwen stefani,2005,200,pop,pop
gotta tell you,samantha mumba,2000,200,pop,pop
all star,smash mouth,1999,200,rock,band
i want you back,*nsync,1999,200,pop,pop
ugly heart,g.r.l.,2014,201,pop,pop
magic,coldplay,2014,201,rock,band
you,nathaniel,2013,201,pop,pop
change your life,little mix,2013,201,pop,pop
this is what it feels like,armin van buuren feat. trevor guthrie,2013,201,trance,electronic
sweet nothing,calvin harris feat. florence welch,2012,201,dance,electronic
live while we're young,one direction,2012,201,pop,pop
super bass,nicki minaj,2011,201,hip hop,urban
domino,jessie j,2011,201,pop,pop
we no speak americano,yolanda be cool & dcup,2010,201,house,electronic
naughty girl,mr g,2008,201,techno,electronic
wake up call,maroon 5,2007,201,pop,pop
we belong together,mariah carey,2005,201,pop,pop
obsession (no es amor),frankie j,2005,201,latin,pop
i like the way,bodyrockers,2005,201,electronic,electronic
welcome to my life,simple plan,2005,201,rock,band
what about me,shannon noll,2004,201,rock,band
welcome to my life,simple plan,2004,201,rock,band
nu flow,big brovaz,2003,201,hip hop,urban
hey sexy lady,shaggy,2003,201,reggae,band
naughty girl,holly valance,2003,201,pop,pop
alive,p.o.d.,2002,201,rock,band
poison,bardot,2000,201,pop,pop
when i grow up,garbage,1999,201,rock,band
"5, 6, 7, 8",steps,1998,201,pop,pop
if you could read my mind,stars on 54,1998,201,eurodance,electronic
"1, 2, 3, 4 (sumpin' new)",coolio,1996,201,hip hop,urban
budapest,george ezra,2014,202,singer-songwriter,band
shower,becky g,2014,202,pop,pop
wild wild love,pitbull feat. g.r.l.,2014,202,hip hop,urban
#beautiful,mariah carey feat. miguel,2013,202,pop,pop
hall of fame,the script feat. will.i.am,2012,202,rock,band
moves like jagger,maroon 5 feat. christina aguilera,2012,202,pop,pop
moves like jagger,maroon 5 feat. christina aguilera,2011,202,pop,pop
own this club,marvin priest,2011,202,r&b,urban
who's that chick,david guetta feat. rihanna,2011,202,house,electronic
who's that chick,david guetta feat. rihanna,2010,202,house,electronic
party in the u.s.a.,miley cyrus,2010,202,pop,pop
not fair,lily allen,2009,202,pop,pop
when love takes over,david guetta feat. kelly rowland,2009,202,house,electronic
party in the u.s.a.,miley cyrus,2009,202,pop,pop
sweet about me,gabriella cilmi,2008,202,pop,pop
everything i'm not,the veronicas,2006,202,pop,pop
the saints are coming,u2 & green day,2006,202,punk,band
"1, 2 step",ciara,2005,202,pop,pop
it's like that,mariah carey,2005,202,pop,pop
don't tell me,avril lavigne,2004,202,pop,pop
(there's gotta be) more to life,stacie orrico,2003,202,pop,pop
sk8er boi,avril lavigne,2003,202,pop,pop
better man,robbie williams,2002,202,pop,pop
sk8er boi,avril lavigne,2002,202,pop,pop
one night stand,mis-teeq,2002,202,r&b,urban
better man,robbie williams,2001,202,pop,pop
stronger,britney spears,2000,202,pop,pop
doctor jones,aqua,1998,202,pop,pop
doctor jones,aqua,1997,202,pop,pop
she looks so perfect,5 seconds of summer,2014,203,pop,pop
i will never let you down,rita ora,2014,203,pop,pop
dangerous,david guetta feat. sam martin,2014,203,house,electronic
dynamite,taio cruz,2011,203,pop,pop
loud,stan walker,2011,203,r&b,urban
dynamite,taio cruz,2010,203,pop,pop
eenie meenie,sean kingston feat. justin bieber,2010,203,reggae,band
sex on fire,kings of leon,2009,203,rock,band
sex on fire,kings of leon,2008,203,rock,band
pointless relationship,tammin,2005,203,pop,pop
beware of the boys (mundian to bach ke),panjabi mc feat. jay-z,2003,203,hip hop,urban
amazing,alex lloyd,2001,203,pop,pop
there you go,pink,2000,203,pop,pop
how do i deal,jennifer love hewitt,1999,203,pop,pop
rollercoaster,b*witched,1998,203,pop,pop
walkin on the sun,smash mouth,1998,203,rock,band
x-files theme,triple x,1996,203,surf music,band
lambada,kaoma,1990,203,pop,pop
riptide,vance joy,2014,204,folk,band
take me home,cash cash feat. bebe rexha,2014,204,pop,pop
this is how we do,katy perry,2014,204,pop,pop
riptide,vance joy,2013,204,folk,band
jet lag,simple plan feat. natasha bedingfield,2011,204,rock,band
raise your glass,p!nk,2011,204,pop,pop
we r who we r,ke$ha,2011,204,pop,pop
raise your glass,p!nk,2010,204,pop,pop
we r who we r,ke$ha,2010,204,pop,pop
black box,stan walker,2010,204,r&b,urban
black box,stan walker,2009,204,r&b,urban
funhouse,p!nk,2009,204,pop,pop
keep your hands off my girl,good charlotte,2007,204,rock,band
kiss kiss,holly valance,2002,204,pop,pop
wherever you will go,the calling,2002,204,rock,band
it's over,kurupt,2001,204,hip hop,urban
don't wanna let you go,five,2000,204,pop,pop
boom boom boom boom!,vengaboys,1999,204,eurodance,electronic
when you're gone,bryan adams featuring melanie c.,1999,204,rock,band
fight for your right (to party),n.y.c.c.,1998,204,pop,pop
when you're gone,bryan adams,1998,204,rock,band
(ooh aah) just a little bit,gina g,1996,204,dance,electronic
sweet dreams,la bouche,1996,204,pop,pop
wrap me up,alex party,1996,204,dance,electronic
achy breaky heart,billy ray cyrus,1992,204,country,band
timber,pitbull feat. ke$ha,2014,205,hip hop,urban
timber,pitbull feat. ke$ha,2013,205,hip hop,urban
dear darlin',olly murs,2013,205,pop,pop
don't you worry child,swedish house mafia feat. john martin,2013,205,house,electronic
don't you worry child,swedish house mafia feat. john martin,2012,205,house,electronic
back in time,pitbull,2012,205,hip hop,urban
right round,flo rida feat. ke$ha,2009,205,rap,urban
