title,artist,year,duration,group
i touch myself,divinyls,1991,227,band
i wanna sex you up,color me badd,1991,245,urban
i've been thinking about you,londonbeat,1991,225,urban
i've got to go now,toni childs,1991,387,band
ice ice baby,vanilla ice,1991,241,urban
joyride,roxette,1991,325,pop
just like you,robbie nevil,1991,242,pop
last train to trancentral,the klf,1991,358,electronic
love rears its ugly head,living colour,1991,129,band
love... thy will be done,martika,1991,244,pop
more than words,extreme,1991,228,band
now that we found love,heavy d & the boyz,1991,266,urban
pump it (nice an' hard),icy blu,1991,199,urban
read my lips,melissa,1991,222,pop
rhythm of my heart,rod stewart,1991,232,band
ring ring ring (ha ha hey),de la soul,1991,230,urban
rush,big audio dynamite ii,1991,183,electronic
rush rush,paula abdul,1991,294,pop
sadness part 1,enigma,1991,255,pop
sucker dj,dimples d,1991,334,urban
the fly,u2,1991,277,band
the horses,daryl braithwaite,1991,256,pop
the shoop shoop song (it's in his kiss),cher,1991,168,pop
things that make you go hmmmm,c & c music factory,1991,308,pop
tingles (ep),ratcat,1991,212,band
treaty (filthy lucre remix),yothu yindi,1991,230,band
unbelievable,e.m.f.,1991,223,pop
unchained melody,righteous brothers,1991,215,pop
unforgettable,natalie cole with nat,1991,210,pop
when your love is gone,jimmy barnes,1991,398,band
where are you now,roxus,1991,242,band
wiggle it,2 in a room,1991,241,electronic
wind of change,scorpions,1991,202,band
you could be mine,guns n' roses,1991,344,band
accidentally kelly street,frente,1992,198,pop
achy breaky heart,billy ray cyrus,1992,302,band
ain't no doubt,jimmy nail,1992,248,band
alive,pearl jam,1992,341,band
amigos para siempre,jose carreras & sarah brightman,1992,276,other
as ugly as they wanna be (ep),ugly kid joe,1992,251,band
baby got back,sir mix-a-lot,1992,233,urban
be my baby,teen queens,1992,236,pop
cry,lisa edwards,1992,270,pop
"damn, i wish i was your lover",sophie b. hawkins,1992,272,pop
dizzy,vic reeves & the wonderstuff,1992,197,band
end of the road,boyz ii men,1992,238,urban
everything's alright,"john farnham, kate ceberano & jon stevens",1992,321,pop
get ready for this,2 unlimited,1992,322,electronic
hazard,richard marx,1992,299,pop
heaven knows,rick price,1992,267,band
how do you do,roxette,1992,189,pop
humpin' around,bobby brown,1992,322,urban
