title,artist,year,duration,group
how do i deal,jennifer love hewitt,1999,204,pop
i knew i loved you,savage garden,1999,221,pop
i want it that way,backstreet boys,1999,213,pop
i want you back,'n sync,1999,201,pop
if i let you go,westlife,1999,220,pop
if ya gettin' down,five,1999,179,pop
if you had my love,jennifer lopez,1999,227,pop
jackie,b.z. featuring joanne,1999,245,pop
keep on movin',five,1999,240,pop
kiss me,sixpence none the richer,1999,206,pop
larger than life,backstreet boys,1999,233,pop
last kiss,pearl jam,1999,196,band
last to know,human nature,1999,266,pop
livin' la vida loca,ricky martin,1999,223,pop
look at me,geri halliwell,1999,198,pop
lullaby,shawn mullins,1999,271,band
mambo no.5,lou bega,1999,195,pop
man! i feel like a woman,shania twain,1999,234,band
my name is,eminem,1999,269,urban
no matter what,boyzone,1999,284,pop
no scrubs,t.l.c.,1999,250,urban
pretty fly (for a white guy),the offspring,1999,188,band
say it once,ultra,1999,240,pop
scar tissue,red hot chili peppers,1999,217,band
shake your bon bon,ricky martin,1999,231,pop
she's all i ever had,ricky martin,1999,294,pop
she's so high,tal bachman,1999,226,band
shimmer / sunburn,fuel,1999,217,band
silence,delerium,1999,245,electronic
sister,sister2sister,1999,209,pop
smooth,santana,1999,243,band
sometimes,britney spears,1999,245,pop
strong enough,cher,1999,221,pop
swear it again,westlife,1999,247,pop
sweet like chocolate,shanks and bigfoot,1999,209,urban
tearin' up my heart,'n sync,1999,209,pop
thank abba for the music,various,1999,248,electronic
that don't impress me much,shania twain,1999,236,band
that's the way it is,celine dion,1999,232,pop
the animal song,savage garden,1999,278,pop
the bad touch,bloodhound gang,1999,245,band
the hardest thing 98,degrees,1999,275,band
the millennium prayer,cliff richard,1999,279,pop
this kiss,faith hill,1999,194,band
touch it,monifah,1999,248,urban
tragedy / heartbeat,steps,1999,270,pop
unpretty,t.l.c.,1999,286,urban
waiting for tonight,jennifer lopez,1999,292,pop
we like to party,vengaboys,1999,225,electronic
weir,killing heidi,1999,245,band
westside tq,'n sync,1999,344,pop
when i grow up,garbage,1999,202,band
when you say nothing at all,ronan keating,1999,299,pop
when you're gone,bryan adams featuring melanie c.,1999,218,band
why don't you get a job?,the offspring,1999,172,band
"wild, wild west",will smith,1999,245,urban
you don't know me,armand van helden,1999,237,electronic
you get what you give,new radicals,1999,249,band
you've got a way,shania twain,1999,203,band
zorba's dance lcd,enrique iglesias,1999,214,pop
absolutely everybody,vanessa amorosi,2000,220,pop
adelante,sash!,2000,226,electronic
affirmation,savage garden,2000,205,pop
all the small things,blink 182,2000,216,band
amazed,lonestar,2000,243,band
american pie,madonna,2000,272,pop
b-boys & fly girls,bomfunk mc's,2000,193,electronic
beautiful day,u2,2000,251,band
bent,matchbox twenty,2000,256,pop
better off alone,alice deejay,2000,400,electronic
bloke,chris franklin,2000,232,other
blue (da ba dee),eiffel 65,2000,280,pop
breathless,the corrs,2000,206,pop
brick track vs gitty up,salt 'n' pepa,2000,190,urban
bring it all back,s club 7,2000,209,pop
bye bye bye,*n sync,2000,242,pop
candy,mandy moore,2000,235,pop
cartoon heroes,aqua,2000,190,pop
come on over baby (all i want is you),christina aguilera,2000,205,pop
could i have this kiss forever,whitney houston & enrique iglesias,2000,261,pop
day & night,billie piper,2000,224,pop
do you want my love,coco lee,2000,226,pop
don't call me baby,madison avenue,2000,224,electronic
don't give up,chicane featuring bryan adams,2000,225,electronic
don't say you love me,m2m,2000,226,pop
don't wanna let you go,five,2000,218,pop
don't you worry,madasun,2000,242,electronic
everything you need,madison avenue,2000,223,electronic
ex-girlfriend,no doubt,2000,211,band
fill me in,craig david,2000,256,urban
freestyler,bomfunk mc's,2000,172,electronic
friends forever (graduation),vitamin c,2000,341,pop
gotta tell you,samantha mumba,2000,200,pop
groovejet (if this ain't love),spiller,2000,222,electronic
he don't love you,human nature,2000,192,pop
he wasn't man enough,toni braxton,2000,231,urban
holiday,naughty by nature,2000,249,urban
holler / let love lead the way,spice girls,2000,257,pop
i see you baby (shakin' that ass),groove armada,2000,248,electronic
i should've never let you go,bardot,2000,268,pop
i think i'm in love with you,jessica simpson,2000,198,pop
i try,macy gray,2000,240,urban
i turn to you,melanie c,2000,251,pop
i wanna be with you,mandy moore,2000,301,pop
i wanna love you forever,jessica simpson,2000,244,pop
i'm outta love,anastacia,2000,241,pop
independent women (part 1),destiny's child,2000,203,pop
it feels so good,sonique,2000,236,electronic
it's gonna be me,*n sync,2000,204,pop
it's my life,bon jovi,2000,228,band
jumpin' jumpin',destiny's child,2000,124,pop
lady (hear me tonight),modjo,2000,222,electronic
last one standing,girl thing,2000,243,pop
let's get loud,jennifer lopez,2000,197,pop
life is a rollercoaster,ronan keating,2000,234,pop
live without it,killing heidi,2000,191,band
lucky,britney spears,2000,249,pop
mambo italiano,shaft,2000,168,electronic
mascara / leave me alone,killing heidi,2000,209,band
most girls,pink,2000,272,pop
move your body,eiffel 65,2000,269,pop
music,madonna,2000,226,pop
my happiness,powderfinger,2000,274,band
never be the same again,melanie c with lisa,2000,257,pop
on a night like this,kylie minogue,2000,212,pop
oops! i did it again,britney spears,2000,198,pop
original prankster,the offspring,2000,221,band
poison,bardot,2000,201,pop
pray,tina cousins,2000,236,electronic
pure shores,all saints,2000,268,pop
rip it up 28,days,2000,218,band
rock dj,robbie williams,2000,266,pop
s club party,s club 7,2000,208,pop
say it isn't so,bon jovi,2000,213,band
say my name,destiny's child,2000,293,pop
shackles (praise you),mary,2000,223,band
shalala lala,vengaboys,2000,216,electronic
shape of my heart,backstreet boys,2000,172,pop
she bangs,ricky martin,2000,246,pop
shine,vanessa amorosi,2000,237,pop
show me the meaning of being lonely,backstreet boys,2000,260,pop
spinning around,kylie minogue,2000,208,pop
steal my sunshine,len,2000,242,pop
stronger,britney spears,2000,203,pop
take a look around,limp bizkit,2000,321,band
teenage dirtbag,wheatus,2000,194,band
the bad touch,bloodhound gang,2000,245,band
the real slim shady,eminem,2000,268,urban
there you go,pink,2000,356,pop
these days,bardot,2000,220,pop
thong song,sisqo,2000,209,urban
toca's miracle,fragma,2000,327,electronic
try again,aaliyah,2000,284,urban
we think it's love,leah haywood,2000,195,pop
we will rock you,five & queen,2000,177,band
what a girl wants,christina aguilera,2000,246,pop
what's a girl to do?,s2s,2000,207,pop
who let the dogs out,baha men,2000,198,pop
who the hell are you,madison avenue,2000,398,electronic
why does it always rain on me,travis,2000,265,band
7 days,craig david,2001,253,urban
again,lenny kravitz,2001,225,band
all for you,janet jackson,2001,330,pop
all rise,blue,2001,224,pop
amazing,alex lloyd,2001,202,pop
angel,shaggy featuring rayvon,2001,235,band
another day in paradise,brandy featuring ray j.,2001,273,urban
around the world (la la la la) atc,blue,2001,195,pop
bad boy for life,p. diddy & the bad boy family,2001,249,urban
because i got high,afroman,2001,310,urban
bette davis eyes,gwyneth paltrow,2001,250,band
better man,robbie williams,2001,203,pop
bootylicious destiny's,child,2001,209,urban
bow wow (that's my name),lil bow wow,2001,245,urban
butterfly,crazy town,2001,224,band
can we fix it?,bob the builder,2001,189,other
can't fight the moonlight,leann rimes,2001,218,band
can't get you out of my head,kylie minogue,2001,218,pop
case of the ex,mya,2001,250,urban
clint eastwood,gorillaz,2001,224,band
country grammar,nelly,2001,266,urban
cruisin',gwyneth paltrow and huey lewis,2001,206,other
dance with me,debelah morgan,2001,205,urban
dancing in the moonlight,toploader,2001,207,band
don't mess with the radio,nivea,2001,237,urban
don't stop movin',s club 7,2001,230,pop
don't tell me,madonna,2001,281,pop
don't think i'm not,kandi,2001,244,urban
drive,incubus,2001,289,band
drops of jupiter,train,2001,260,band
ei,nelly,2001,205,urban
everytime you need me,fragma,2001,206,electronic
fallin',alicia keys,2001,210,urban
family affair,mary j. blige,2001,231,urban
follow me,uncle kracker,2001,208,band
free,mya,2001,251,urban
hanging by a moment,lifehouse,2001,214,band
hero,enrique iglesias,2001,277,pop
hit 'em up style (oops!),blu cantrell,2001,247,urban
how you remind me,nickelback,2001,225,band
i need somebody,bardot,2001,205,pop
i'm a believer,smash mouth,2001,185,band
i'm a slave 4,u britney spears,2001,203,pop
i'm like a bird,nelly furtado,2001,290,pop
i'm real,jennifer lopez,2001,235,pop
in my pocket,mandy moore,2001,219,pop
independent women (part 1),destiny's child,2001,203,pop
it wasn't me,shaggy,2001,217,band
it's over,kurupt,2001,204,urban
it's raining men,geri halliwell,2001,223,pop
just the thing,paul mac featuring peta morris,2001,234,electronic
kryptonite 3,doors down,2001,235,band
lady marmalade,"christina aguilera, lil' kim, mya & pink",2001,277,pop
let me blow ya mind,eve,2001,231,urban
let's dance,five,2001,317,pop
let's get married (remix),jagged edge,2001,283,urban
love don't cost a thing,jennifer lopez,2001,223,pop
lovin' each day,ronan keating,2001,239,pop
"luv me, luv me",shaggy,2001,231,band
mambo no.5,bob the builder,2001,205,other
"me, myself and",i scandal'us,2001,190,pop
miss california,dante thomas,2001,188,pop
ms. jackson,outkast,2001,232,urban
no more (baby i'm a do right),3lw,2001,246,urban
one more time,daft punk,2001,235,electronic
one step closer,linkin park,2001,232,band
operation blade (bass in the place...),public domain,2001,204,electronic
original prankster,the offspring,2001,221,band
out of reach,gabrielle,2001,206,pop
play,jennifer lopez,2001,216,pop
purple pills,d-12,2001,259,urban
ride wit me,nelly,2001,247,urban
rollin',limp bizkit,2001,290,band
sky,sonique,2001,264,electronic
smooth criminal,alien ant farm,2001,218,band
stan,eminem,2001,363,urban
starlight,the supermen lovers,2001,230,electronic
strawberry kisses,nikki webster,2001,211,pop
stuck in a moment you can't get out of,u2,2001,224,band
supreme,robbie williams,2001,275,pop
survivor destiny's,child,2001,249,urban
teenage dirtbag,wheatus,2001,194,band
thank god i'm a country boy,hampton the hampster,2001,163,electronic
the hampsterdance song,hampton the hampster,2001,213,electronic
the itch,vitamin c,2001,209,pop
the power / everytime i close my eyes,vanessa amorosi,2001,269,pop
too close,blue,2001,227,pop
turn off the light,nelly furtado,2001,241,pop
u remind me,usher,2001,267,pop
uptown girl,westlife,2001,188,pop
walking away,craig david,2001,203,urban
wassup,da muttz,2001,231,pop
what it feels like for a girl,madonna,2001,219,pop
what took you so long?,emma bunton,2001,224,pop
what would you do?,city high,2001,176,urban
where the party at?,jagged edge,2001,220,urban
whole again,atomic kitten,2001,181,pop
with arms wide open,creed,2001,233,band
yellow,coldplay,2001,287,band
you all dat,baha men,2001,201,pop
a little less conversation,elvis vs jxl,2002,234,electronic
a thousand miles,vanessa carlton,2002,269,pop
ain't it funny (remix),jennifer lopez feat. ja rule,2002,247,pop
alive,p.o.d.,2002,201,band
all seats taken,bec cartwright,2002,212,pop
all you wanted,michelle branch,2002,218,pop
always on time,ja rule,2002,242,urban
barenaked,jennifer love hewitt,2002,200,pop
batter up,st lunatics,2002,285,urban
beautiful,disco montego featuring katie underwood,2002,228,electronic
better man,robbie williams,2002,203,pop
black suits comin' (nod ya head),will smith introducing tra-knox,2002,264,urban
born to try,delta goodrem,2002,244,pop
boys of summer dj,sammy,2002,330,electronic
break ya neck,busta rhymes,2002,243,urban
by the way,red hot chili peppers,2002,216,band
cherry lips (go baby go!),garbage,2002,192,band
chop suey!,system of a down,2002,210,band
cleanin'out my closet,eminem,2002,312,urban
complicated,avril lavigne,2002,252,pop
creepin' up slowly,taxiride,2002,236,pop
crying at the discoteque,alcazar,2002,147,pop
dance with me 112,darren hayes,2002,289,pop
dilemma,nelly featuring kelly rowland,2002,289,urban
dirrty,christina aguilera,2002,285,pop
do it with madonna,the androids,2002,228,band
don't let me get me,pink,2002,211,pop
don't turn off the lights,enrique iglesias,2002,243,pop
down boy,holly valance,2002,206,pop
escape,enrique iglesias,2002,320,pop
everywhere,michelle branch,2002,214,pop
family affair,mary j. blige,2002,231,urban
foolish,ashanti,2002,267,urban
gangsta lovin',eve feat alicia keys,2002,243,urban
get over you,sophie ellis bextor,2002,219,pop
get the party started,pink,2002,209,pop
gone clubbin' / girlfriend,*nsync,2002,239,pop
gotta get thru this,daniel bedingfield,2002,161,pop
hands clean,alanis morissette,2002,269,pop
heaven dj,sammy,2002,233,electronic
hella good,no doubt,2002,253,band
hero,chad kroeger,2002,189,band
hero,enrique iglesias,2002,277,pop
hey baby,no doubt,2002,207,band
hey baby dj,otzi,2002,221,electronic
hot in herre,nelly,2002,214,urban
how you remind me,nickelback,2002,225,band
i love rock,n' roll britney spears,2002,188,pop
i need a girl (part one),p.diddy,2002,230,urban
i'm gonna be alright,jennifer lopez,2002,189,pop
i'm moving on,scott cain,2002,193,pop
"i'm not a girl, not yet a woman",britney spears,2002,210,pop
i'm real,jennifer lopez,2002,235,pop
if tomorrow never comes,ronan keating,2002,215,pop
in the end,linkin park,2002,276,band
in your eyes,kylie minogue,2002,192,pop
insatiable,darren hayes,2002,307,pop
it just won't do,tim deluxe,2002,203,electronic
just a little,liberty x,2002,334,pop
kiss kiss,holly valance,2002,204,pop
life goes on leann,rimes,2002,232,band
lifestyles of the rich & famous,good charlotte,2002,202,band
like i love you,justin timberlake,2002,271,pop
livin' it up,ja rule,2002,253,urban
love at first sight,kylie minogue,2002,229,pop
murder on the dancefloor,sophie ellis bextor,2002,239,pop
my sacrifice,creed,2002,296,band
nasty girl destiny's,child,2002,213,urban
not pretty enough,kasey chambers,2002,200,band
objection (tango),shakira,2002,241,pop
one day in your life,anastacia,2002,205,pop
one night stand,mis-teeq,2002,205,urban
overprotected,britney spears,2002,235,pop
papa don't preach,kelly osbourne,2002,205,pop
rapture,iio,2002,327,electronic
rich girl,selwyn,2002,240,urban
sk8er boi,avril lavigne,2002,204,pop
smooth criminal,alien ant farm,2002,218,band
somethin' stupid,robbie williams & nicole kidman,2002,171,pop
stop calling me,shakaya,2002,217,pop
superman (it's not easy),five for fighting,2002,221,band
the greatest view,silverchair,2002,245,band
the ketchup song (asereje)las,ketchup,2002,211,pop
the logical song,scooter,2002,285,electronic
the tide is high (get the feeling),atomic kitten,2002,198,pop
tribute,tenacious d,2002,293,band
two wrongs / pj's,wyclef jean feat claudette ortiz,2002,232,urban
u got it bad,usher,2002,279,pop
underneath your clothes,shakira,2002,185,pop
way love's supposed to be,selwyn,2002,265,urban
what about us?,brandy,2002,254,urban
what would you do?,city high,2002,176,urban
what's luv?,fat joe,2002,231,urban
when you look at me,christina milian,2002,184,urban
"whenever, wherever",shakira,2002,198,pop
where's your head at,basement jaxx,2002,236,electronic
wherever you will go,the calling,2002,204,band
who do you love now?,riva featuring dannii minogue,2002,204,pop
without me,eminem,2002,262,urban
youth of the nation,p.o.d.,2002,242,band
'03 bonnie and clyde,jay-z feat. beyonce knowles,2003,280,urban
(there's gotta be) more to life,stacie orrico,2003,307,pop
21 questions 50,cent,2003,260,urban
all i have,jennifer lopez feat. l.l. cool j,2003,256,pop
angel,amanda perez,2003,218,urban
angels brought me here,guy sebastian,2003,237,pop
are you gonna be my girl?,jet,2003,229,band
baby boy,beyonce feat. sean paul,2003,250,urban
beautiful,christina aguilera,2003,239,pop
beautiful,snoop dogg,2003,247,urban
beware of the boys (mundian to bach ke),panjabi mc feat. jay-z,2003,201,urban
big yellow taxi,counting crows feat. vanessa carlton,2003,218,band
born to try,delta goodrem,2003,244,pop
boys of summer dj,sammy,2003,330,electronic
breathe,blu cantrell,2003,202,urban
bring me to life,evanescence,2003,293,band
bump bump bump,b2k feat. p. diddy,2003,232,urban
business,eminem,2003,252,urban
can i go now,jennifer love hewitt,2003,190,pop
can't hold us down,christina aguilera,2003,270,pop
cleanin' out my closet,eminem,2003,311,urban
crazy in love,beyonce,2003,235,urban
cry me a river,justin timberlake,2003,288,pop
dilemma,nelly feat. kelly rowland,2003,289,urban
do it with madonna,the androids,2003,228,band
don't know why,norah jones,2003,253,band
falling,candice alley,2003,219,pop
family portrait,pink,2003,230,pop
feel,robbie williams,2003,213,pop
feel good time,pink feat. william orbit,2003,204,pop
fever for the flava,hot action cop,2003,220,band
fighter,christina aguilera,2003,247,pop
get busy,sean paul,2003,212,urban
hey hey what you say / hello world,saddle club,2003,93,pop
hey sexy lady,shaggy,2003,211,band
hey ya,outkast,2003,229,urban
i begin to wonder,dannii minogue,2003,208,electronic
i know what you want,busta rhymes and mariah carey,2003,317,urban
if you're not the one,daniel bedingfield,2003,241,pop
ignition - remix,r. kelly,2003,178,urban
in da club 50,cent,2003,250,urban
innocent eyes,delta goodrem,2003,233,pop
into you,fabolous,2003,265,urban
intuition,jewel,2003,241,pop
jenny from the block,jennifer lopez,2003,178,pop
landslide,dixie chicks,2003,234,band
life goes on leann,rimes,2003,232,band
lose yourself,eminem,2003,321,urban
lost without you,delta goodrem,2003,230,pop
lovesong,amiel,2003,210,pop
me against the music,britney spears feat. madonna,2003,242,pop
mesmerize,ja rule feat. ashanti,2003,347,urban
miss independent,kelly clarkson,2003,213,pop
"my neck, my back (lick it)",khia,2003,223,urban
naughty girl,holly valance,2003,206,pop
"not me, not i",delta goodrem,2003,264,pop
nu flow,big brovaz,2003,199,urban
numb,linkin park,2003,176,band
p.i.m.p.,50 cent,2003,249,urban
predictable,delta goodrem,2003,219,pop
reign,ja rule,2003,341,urban
right thurr,chingy,2003,245,urban
rise & fall,craig david,2003,286,urban
rise up,australian idol final 12,2003,383,pop
rock your body,justin timberlake,2003,267,pop
round round,sugababes,2003,234,pop
rubberneckin' (paul oakenfold remix),elvis presley,2003,208,band
satisfaction,benny benassi presents the biz,2003,222,electronic
scandalous,mis-teeq,2003,238,urban
senorita,justin timberlake,2003,295,pop
shake ya tailfeather,p. diddy / nelly / murphy lee,2003,343,urban
she hates me,puddle of mudd,2003,208,band
shut up,black eyed peas,2003,225,pop
sing for the moment,eminem,2003,285,urban
sk8er boi,avril lavigne,2003,204,pop
slow,kylie minogue,2003,194,pop
so yesterday,hilary duff,2003,214,pop
someday,nickelback,2003,208,band
somewhere i belong,linkin park,2003,215,band
stole,kelly rowland,2003,251,urban
stuck,stacie orrico,2003,185,pop
the anthem,good charlotte,2003,174,band
the ketchup song (asereje),las ketchup,2003,314,pop
the tide is high (get the feeling),atomic kitten,2003,198,pop
thug lovin',ja rule feat. bobby brown,2003,274,urban
trouble,pink,2003,294,pop
true colours,kasey chambers,2003,227,band
unchained melody,gareth gates,2003,232,pop
united states of whatever,liam lynch,2003,89,other
unwell,matchbox 20,2003,229,pop
we've got tonight,ronan keating & lulu,2003,217,pop
what's your flava?,craig david,2003,213,urban
when i get you alone,thicke,2003,216,urban
where is the love,black eyed peas,2003,275,pop
white flag,dido,2003,249,pop
why not,hilary duff,2003,180,pop
work it,missy elliott,2003,264,urban
you promised me (tu es foutu),in-grid,2003,216,electronic
your body is a wonderland,john mayer,2003,256,pop
accidentally in love,counting crows,2004,188,band
all i need is you,guy sebastian,2004,245,pop
am i ever gonna see the biff again?,reg reagan,2004,195,band
amazing,george michael,2004,264,pop
american idiot,green day,2004,173,band
angel eyes,paulini,2004,241,pop
baby boy,big brovaz,2004,199,urban
be faithful,fatman scoop,2004,215,urban
behind blue eyes,limp bizkit,2004,270,band
black betty,spiderbait,2004,207,band
bounce,sarah connor,2004,236,pop
breakaway,kelly clarkson,2004,236,pop
broken,seether feat. amy lee,2004,258,band
burn,usher,2004,248,pop
call on me,eric prydz,2004,230,electronic
car wash,christina aguilera & missy elliott,2004,232,pop
confessions part ii,usher,2004,258,pop
don't tell me,avril lavigne,2004,200,pop
drive,shannon noll,2004,239,band
everytime,britney spears,2004,233,pop
f.u. right back,frankee,2004,205,urban
f**k it (i don't want you back),eamon,2004,208,urban
figured you out,nickelback,2004,228,band
four to the floor,starsailor,2004,253,band
here without you 3,doors down,2004,236,band
hey mama,black eyed peas,2004,235,pop
hey ya,outkast,2004,229,urban
holidae in,chingy,2004,278,urban
how come,d-12,2004,324,urban
i am,killing heidi,2004,206,band
i believe,fantasia,2004,300,urban
i dont wanna know,mario winans,2004,258,urban
i like that,"houston feat. chingy, nate dogg & i-20",2004,252,urban
i miss you,blink 182,2004,227,band
in the shadows,the rasmus,2004,253,band
it's my life,no doubt,2004,226,band
it's too late,evermore,2004,184,band
just lose it,eminem,2004,250,urban
learn to fly,shannon noll,2004,253,band
leave (get out),jo jo,2004,246,pop
left outside alone,anastacia,2004,231,pop
let's get it started,black eyed peas,2004,240,pop
listen with your heart,casey donovan,2004,241,pop
look what you've done,jet,2004,233,band
lose my breath destiny's,child,2004,219,urban
me against the music,britney spears feat. madonna,2004,242,pop
milkshake,kelis,2004,187,pop
ms vanity,rob mills,2004,222,pop
my band,d-12,2004,359,urban
my happy ending,avril lavigne,2004,243,pop
my immortal,evanescence,2004,263,band
my place / flap your wings,nelly,2004,280,urban
my prerogative,britney spears,2004,260,pop
naughty girl,beyonce,2004,228,urban
not in love,enrique iglesias,2004,225,pop
one call away,chingy,2004,219,urban
out of the blue,delta goodrem,2004,266,pop
out with my baby,guy sebastian,2004,220,pop
perfect,simple plan,2004,262,band
pieces of me,ashlee simpson,2004,198,pop
popular,darren hayes,2004,237,pop
predictable,delta goodrem,2004,219,pop
push up,freestylers,2004,237,electronic
roses,outkast,2004,364,urban
scar (ep),missy higgins,2004,211,pop
she wants to move,n*e*r*d,2004,212,urban
she will be loved,maroon 5,2004,259,pop
shut up,black eyed peas,2004,225,pop
sick and tired,anastacia,2004,235,pop
so beautiful,pete murray,2004,278,band
somebody to love,boogie pimps,2004,155,electronic
spiderman theme / sway,michael buble,2004,178,band
stand up / not many,scribe,2004,241,band
suga suga,baby bash,2004,239,urban
summer rain,slinkee minx,2004,247,electronic
superstar,jamelia,2004,215,pop
take me to the clouds above,lmc vs u2,2004,317,electronic
take my breath away,jessica simpson,2004,195,pop
thank you,jamelia,2004,255,pop
the prayer,anthony callea,2004,255,pop
the reason,hoobastank,2004,240,band
the trouble with love is,kelly clarkson,2004,221,pop
the way you move,outkast,2004,232,urban
these kids,joel turner & the modern day poets,2004,333,urban
these words,natasha bedingfield,2004,246,pop
this love,maroon 5,2004,219,pop
tilt ya head back,nelly feat. christina aguilera,2004,255,urban
tipsy,j-kwon,2004,205,urban
toxic,britney spears,2004,199,pop
trick me,kelis,2004,204,pop
turn me on,kevin lyttle,2004,178,band
welcome to my life,simple plan,2004,207,band
what about me,shannon noll,2004,201,band
what chu want,j wess,2004,233,pop
what you waiting for?,gwen stefani,2004,223,pop
when the war is over / one night without you,cosima,2004,223,other
when you say you love me,human nature,2004,239,pop
with you,jessica simpson,2004,192,pop
yeah,usher feat. ludacris & lil' jon,2004,174,pop
zebra,the john butler trio,2004,357,band
1 thing,amerie,2005,163,urban
"1, 2 step",ciara,2005,232,pop
4ever,the veronicas,2005,209,pop
almost here,delta goodrem and brian mcfadden,2005,226,pop
ass like that,eminem,2005,265,urban
axel f,crazy frog,2005,323,pop
bad day,daniel powter,2005,234,pop
beautiful soul,jesse mccartney,2005,198,pop
better days,pete murray,2005,224,band
boulevard of broken dreams,green day,2005,179,band
candy shop,50 cent,2005,251,urban
catch my disease,ben lee,2005,255,band
caught up,usher,2005,210,pop
"come on aussie, come on",shannon noll,2005,210,band
dare,gorillaz,2005,214,band
das kleine krokadil (crocodile song),schnappi,2005,130,band
do somethin',britney spears,2005,202,pop
don't cha,the pussycat dolls,2005,272,pop
don't lie,black eyed peas,2005,209,pop
don't phunk with my heart,black eyed peas,2005,265,pop
drop it like it's hot,snoop dogg,2005,263,urban
"evie parts 1, 2 & 3",the wrights,2005,238,band
feel good inc.,gorillaz,2005,230,band
flashdance,deep dish,2005,384,electronic
get right,jennifer lopez,2005,198,pop
ghetto gospel,2pac,2005,168,urban
girl,destiny's child,2005,224,pop
gold digger,kanye west,2005,221,urban
hate it or love it,the game,2005,206,urban
have a nice day,bon jovi,2005,252,band
hell no!,ricki-lee,2005,193,pop
hey bitty,nitty,2005,273,urban
hollaback girl,gwen stefani,2005,200,pop
hung up,madonna,2005,196,pop
i just wanna live,good charlotte,2005,196,band
i like the way,bodyrockers,2005,233,electronic
incomplete,backstreet boys,2005,242,pop
it's like that,mariah carey,2005,212,pop
just a lil bit,50 cent,2005,204,urban
just lose it,eminem,2005,250,urban
la la,ashlee simpson,2005,224,pop
let me love you,mario,2005,264,urban
like toy soldiers,eminem,2005,284,urban
listen with your heart,casey donovan,2005,241,pop
lonely,akon,2005,272,urban
lonely no more,rob thomas,2005,216,pop
lose control,missy elliott,2005,195,urban
lose my breath,destiny's child,2005,218,pop
maybe tonight,kate dearaugo,2005,218,pop
midas touch,midnight star,2005,381,urban
mockingbird,eminem,2005,250,urban
my humps,black eyed peas,2005,325,pop
n dey say,nelly,2005,207,urban
nasty girl,nitty,2005,251,urban
numb / encore,linkin park / jay-z,2005,232,band
obsession (no es amor),frankie j,2005,222,pop
oh,ciara feat. ludacris,2005,203,pop
ooh aah,tamara jaber,2005,197,pop
over and over,nelly feat. tim mcgraw,2005,255,urban
photograph,nickelback,2005,246,band
pointless relationship,tammin,2005,206,pop
pon de replay,rihanna,2005,246,pop
pony,kasey chambers,2005,283,band
popcorn,crazy frog,2005,192,pop
push the button,sugababes,2005,216,pop
put your hands up,random,2005,208,urban
rain / bridge over troubled water,anthony callea,2005,237,pop
rich girl,gwen stefani,2005,246,pop
rumours,lindsay lohan,2005,225,pop
shake it off,mariah carey,2005,250,pop
she's no you,jesse mccartney,2005,201,pop
shine,shannon noll,2005,213,band
shut up,simple plan,2005,183,band
signs,snoop dogg,2005,245,urban
since you've been gone,kelly clarkson,2005,196,pop
so good,bratz rock angelz,2005,198,pop
soldier,destiny's child,2005,326,pop
stop the music,p-money & scribe,2005,300,urban
sunshine,ricki-lee,2005,182,pop
switch,will smith,2005,206,urban
ten days,missy higgins,2005,228,pop
the prayer,anthony callea,2005,255,pop
the special two ep,missy higgins,2005,263,pop
these boots are made for walkin',jessica simpson,2005,250,pop
these kids,joel turner & the modern day poets,2005,333,urban
this is how a heart breaks,rob thomas,2005,232,pop
tilt ya head back,nelly feat. christina aguilera,2005,255,urban
tripping,robbie williams,2005,242,pop
underwear goes inside the pants,lazyboy,2005,295,electronic
untitled (how can this happen to me?),simple plan,2005,208,band
voodoo child,rogue traders,2005,214,pop
wake me up when september ends,green day,2005,259,band
wake up,hilary duff,2005,219,pop
way to go!,rogue traders,2005,183,pop
we belong together,mariah carey,2005,202,pop
welcome to my life,simple plan,2005,207,band
what you waiting for?,gwen stefani,2005,223,pop
whatever will be,tammin,2005,227,pop
wonderful,ja rule featuring ashanti,2005,214,urban
you're beautiful,james blunt,2005,204,pop
ain't no other man,christina aguilera,2006,378,pop
all i hear,kate alexa,2006,208,pop
beat of my heart,hilary duff,2006,189,pop
because of you,kelly clarkson,2006,244,pop
beep,the pussycat dolls feat. will.i.am,2006,228,pop
"black fingernails, red wine",eskimo joe,2006,250,band
breaking free,troy & gabriela,2006,186,band
but it's better if you do,panic! at the disco,2006,206,band
buttons,the pussycat dolls feat. snoop dogg,2006,219,pop
call me when you're sober,evanescence,2006,215,band
come to me,p. diddy feat. nicole scherzinger,2006,291,urban
confessions of a broken heart (daughter to father),lindsay lohan,2006,221,pop
crazy,gnarls barkley,2006,171,urban
dani california,red hot chili peppers,2006,283,band
deja vu,beyonce,2006,178,urban
don't forget about us,mariah carey,2006,237,pop
don't give up,shannon noll & natalie bassingthwaighte,2006,282,band
everything i'm not,the veronicas,2006,202,pop
faded,kate dearaugo,2006,211,pop
far away,nickelback,2006,244,band
fergalicious,fergie,2006,226,pop
flaunt it,tv rock feat. seany b,2006,207,electronic
for you i will (confidence),teddy geiger,2006,229,pop
forever young,youth group,2006,239,band
gasolina,daddy yankee,2006,173,pop
goodbye my lover,james blunt,2006,236,pop
grillz,"nelly feat. paul wall, ali & gipp",2006,271,urban
happenin' all over again,young divas,2006,208,pop
hips don't lie,shakira feat. wyclef jean,2006,234,pop
hung up,madonna,2006,196,pop
hurt,christina aguilera,2006,255,pop
